순위,지역,정류장명,승차인원,하차인원,총 이용인원
1,서울특별시,잠실광역환승센터(4117121),"17,089","15,381","32,470"
2,경기도 수원시,수원역.AK플라자(4170093),"8,627","8,956","17,582"
3,서울특별시,사당역(중)(4121334),398,"17,130","17,529"
4,경기도 성남시,야탑역.종합버스터미널(전면)(4100610),"9,401","8,000","17,401"
5,서울특별시,미아사거리역(8000547),"8,733","8,328","17,061"
6,서울특별시,구로디지털단지역(0010718),"4,808","11,841","16,649"
7,경기도 고양시,대화역(4106837),"5,402","10,701","16,103"
8,경기도 수원시,수원역.노보텔수원(4116760),"4,582","11,304","15,886"
9,경기도 고양시,대화역(4106836),"10,019","5,282","15,301"
10,경기도 성남시,야탑역.종합버스터미널(후면)(4100611),"6,933","8,207","15,141"
